author	comment	vote
戴安娜普林斯	您就是吹哨人太一？	1158
Anmi	光子郎当上了公司总裁，美美在直播带货做微商，我从三流大学毕业。我们都有光明的未来	3343
Mr. Fahrenheit	把「一切都是美國佬搞事」這個命題拍得出神入化。	426
朝阳区妻夫木聪	不！满！意！等了大半年你就给我看这个？除了光叔的op、吹哨杀、有轨电车这些细节让人觉得还在看数码宝贝，别的还有啥？节奏不停赶，打斗也不精彩，最重要的进化段落就简化成两道光，最后那两只丑丑的半兽人是什么鬼，所谓的迎合初代目粉丝的情怀，居然连八只合体都没有，更别提究极进化了，屁都没看到。无语死。你们说的道理我都懂，什么童年伙伴不可能一起走到最后的，有的人走着走着就散了，I know，我接受，但至少给个有说服力的心理转变吧？你想讨好粉丝，又不想发糖，走深度又上不去（这个主题难道Toy3里面不就用过了吗？），东映你没有心。初代目的主角永远是八个人，既然只有太一跟阿和拿了主角剧本，那麻烦编剧改成BL漫，我可以考虑一下改星。真是气死。	693
D调	如果你不喜欢这部动画电影，那么它不是为你准备的，故事的终章是为真正有童年，不忘初心，老漫迷的人而准备的。

      
      ——2020.10.31 大银幕观影，感谢造梦者。	1827
青豆酥	社畜有被内涵到	407
刘セイლ(́◉◞౪◟◉‵ლ	这是一部送给和数码宝贝一起成长的你。
简单来说，如果你曾经在电视机前追过数码宝贝的话，这是一部眼角带着泪水看到结尾的作品。
说的夸张点观后想到某个桥段或者与人谈起都会泪目的作品。看着太一一边打工一边在居酒屋喝着酒和阿和一起为自己未来着急，谈笑着说着亚古兽他们完全没有改变的时候我才发现他们和我一样终于长大了。
伴着阿和的口琴声与亚古兽道别之时讨论着明天要干什么等等等。。。
这不是一部只有butterfly和进化的作品，它有着我们这代人太多的值得回味与细品的东西。
向我的童年与青春致个敬！(补充)看评论里有很多谈到素娜没有戏份这件事情东映在电影公开前在YouTube上公开了一部前日谭说明了这场最后的进化里没有素娜的戏份的具体原因推荐看了前日谭之后再看本篇会比较能接受。	1061
苫小牧	Bgm一响我就泪流满面 最后结束了大家安安静静看完字幕 沉默着退场 没有一个人说一句话	650
白吃猪排	虽然很多遗憾，初代8人的合体没能上演，几位数码宝贝只打了酱油，武之内空更是钱没给够连全身镜头都没有，但这部应该是看了这么多年数码宝贝到了这个年纪的人最能共鸣的剧情，升学，就职，变得平庸，也许还嘲笑年少的自己。一直以来，数码宝贝想要传达的是友情，信念，初心，直面自我的勇气，这一部想要引导我们思考的是当我们站在人生的分岔路，跟过去告别的意义。
「無事に戻ってこいよ、少年たち。」	1229
薑蓉飯	孩童時代想快點長大成人，長大後卻想做回小朋友。人生真難。	1101
清风	童年情怀真香啊~
  成长是永远的主题啊。当初第一批看数码宝贝的孩子估计现在也长到和主角们一样的年纪，面临着同样的人生选择。但是能陪伴一生的朋友是不存在的，尽管如此那些一起生活的时光，生活的点点滴滴，就是羁绊啊，虽故人不在，但那份感动那份记忆是永远存在于人心中的。
  人啊不能太过于执着于过去，要有向着未来与梦想前进的勇气啊。未来一定会再次相见的 亚古兽!	548
聂曼昆	看到热泪了。串联起二十年的回忆，从滚球兽诞生，到我们的战争游戏，阿和的口琴，太一的护目镜，第一部结局的电车，完完全全的粉丝向大放送，每一个点都是深爱数码宝贝的人记得的，全篇主题也是为我们这群看着数码宝贝长大的孩子们写的，我们是少了更多可能性，就算是离开了彼得潘的梦幻岛，我们不因为沉迷过去的梦幻乡而停止不前，哪怕离开童年最爱的事物很会痛苦，我们也学会了承担更多责任，有太一和孩子们的brave heart往前迈下去，从来没有这么看懂数码宝贝一次，过去都只是隐隐预约记住八个孩子的徽章意义，但整个数码宝贝作品回头细看都有非常多作者想要表达的本意和思考的问题，小孩子的我未能全部理解。本部结局与第二部结尾不同，或者至少没有补全。这是数码二十年最好的总结，谢谢这二十年以及所有陪伴的孩子们，	856
四季	制作还行，但问题也很多，既然都这样了，这一代的故事就别再出下去了...	300
